Episode,Build,Reward,APFD,Improvement
175,773587767,18.0,0.5933333333333333,0.0
176,573430804,23.0,0.5353260869565218,0.0
177,572274981,32.0,0.5044642857142857,0.0
178,572641150,32.0,0.5017857142857143,0.0
179,573677309,31.372105076424848,0.5080357142857143,-0.0017857142857142794
180,572710446,32.0,0.5053571428571428,0.0
181,572132189,31.0,0.4744623655913978,0.0
182,616644235,19.50881203684425,0.5642857142857144,0.0
183,570817138,30.0,0.4842592592592592,0.0
184,572166969,30.0,0.47333333333333333,0.0
185,572735102,31.212000141726584,0.5196428571428571,-0.00267857142857153
186,710784968,19.43148378233399,0.5642857142857144,-0.0023809523809523725
187,572219491,32.0,0.5071428571428571,0.0
188,573676948,32.0,0.5053571428571428,0.0
189,620485513,36.0,0.5146198830409358,0.0
190,774266440,18.0,0.6044444444444445,0.0
191,572118894,30.072087838209747,0.47804659498207885,0.0
192,620485513,36.0,0.5146198830409358,0.0
193,572166969,30.062358984380037,0.5009523809523809,0.0276190476190476
194,683711413,19.499190826694587,0.5571428571428572,-0.0023809523809523725
195,573677038,32.0,0.5044642857142857,0.0
196,573024295,20.0,0.5642857142857144,0.0
197,587286221,26.0,0.527065527065527,0.0
198,710784968,20.0,0.5666666666666668,0.0
199,774258146,18.0,0.5755555555555556,0.0
200,572166969,30.0,0.47333333333333333,0.0
201,683358906,20.0,0.5595238095238095,0.0
202,683711413,20.0,0.5595238095238095,0.0
203,774602173,18.0,0.6088888888888889,0.0
204,774266440,17.74449019520133,0.5888888888888889,-0.015555555555555545
205,774258626,18.0,0.6088888888888889,0.0
206,572642875,32.0,0.5035714285714286,0.0
207,574118187,34.0,0.5135135135135135,0.0
208,774605807,18.0,0.6088888888888889,0.0
209,572759324,32.0,0.5071428571428571,0.0
210,774616590,17.968809819112995,0.6155555555555556,-0.0022222222222221255
211,573732851,31.108110328700466,0.49821428571428567,0.0
212,570814567,30.0,0.4935185185185185,0.0
213,572664370,20.0,0.5547619047619048,0.0
214,572641150,32.0,0.5017857142857143,0.0
215,617692529,29.0,0.5211345939933258,0.0
216,572710446,32.0,0.5053571428571428,0.0
217,572180043,30.111717281901303,0.4861111111111111,0.0
218,774601140,18.0,0.6177777777777778,0.0
219,572164834,31.0,0.4798387096774193,0.0
220,571734935,31.0,0.4753584229390681,0.0
221,774445831,18.0,0.6088888888888889,0.0
222,572659799,30.296941634304495,0.5052182163187855,0.0
223,688072357,20.0,0.5547619047619048,0.0
224,774621349,18.0,0.6222222222222222,0.0
225,774620167,18.0,0.5822222222222222,0.0
226,774445831,18.0,0.6088888888888889,0.0
227,774260344,18.0,0.6177777777777778,0.0
228,572641150,32.0,0.5017857142857143,0.0
229,683365076,20.0,0.5404761904761904,0.0
230,572759324,32.0,0.5071428571428571,0.0
231,572687246,32.0,0.5053571428571428,0.0
232,774588803,18.0,0.5777777777777777,0.0
233,572759324,32.0,0.5071428571428571,0.0
234,774260344,18.0,0.6177777777777778,0.0
235,680844288,20.0,0.5476190476190477,0.0
236,617010721,35.0,0.5033834586466166,0.0
237,774602173,18.0,0.6088888888888889,0.0
238,571829234,32.0,0.5170454545454546,0.0
239,774601140,17.85027409552976,0.6022222222222222,-0.015555555555555545
240,774590033,18.0,0.6088888888888889,0.0
241,683739035,20.0,0.5571428571428572,0.0
242,572659799,30.011003288071688,0.5052182163187855,0.0
243,683722377,19.0,0.5827067669172933,0.0
244,573777420,35.12870718127114,0.5327067669172932,0.02556390977443601
245,688072357,20.0,0.5547619047619048,0.0
246,570817138,29.79345679665576,0.5074074074074073,0.023148148148148084
247,707354621,20.0,0.5714285714285715,0.0
248,568299456,11.0,0.6048951048951049,0.0
249,573677038,32.0,0.5044642857142857,0.0
250,572663090,29.0,0.5211345939933258,0.0
251,573732851,32.0,0.49821428571428567,0.0
252,573024295,20.0,0.5642857142857144,0.0
253,774605807,18.0,0.6088888888888889,0.0
254,683358906,20.0,0.5595238095238095,0.0
255,572759324,32.0,0.5071428571428571,0.0
256,572759324,32.0,0.5071428571428571,0.0
257,572177292,31.0,0.47804659498207885,0.0
258,573612979,32.0,0.5080357142857143,0.0
259,619575286,33.0,0.5147186147186147,0.0
260,572663090,29.0,0.5211345939933258,0.0
261,573777420,35.0,0.5071428571428572,0.0
262,572228782,30.80145668671202,0.5053571428571428,0.0
263,619575286,33.0,0.5147186147186147,0.0
264,574118050,34.0,0.5063593004769475,0.0
265,774589874,18.0,0.5822222222222222,0.0
266,571173535,29.811241359955066,0.49166666666666664,-0.0009259259259259967
267,572661645,31.071370978168776,0.5017857142857143,-0.0008928571428571397
268,774601140,18.17242700832207,0.6244444444444445,0.00666666666666671
269,572117344,20.0,0.5714285714285715,0.0
270,774266440,18.0,0.6044444444444445,0.0
