Episode,Build,Reward,APFD,Improvement
0,774588679,1.1,0.6008771929824561,-0.05701754385964908
1,573777039,1.1,0.5547619047619048,0.0
2,572132189,1.4000000000000004,0.5389784946236559,0.06451612903225806
3,587277184,-2.9,0.49884792626728114,-0.004608294930875556
4,620485513,6.7,0.5431286549707602,0.028508771929824483
5,571827697,-0.10000000000000048,0.5241935483870969,0.07724957555178275
6,572580658,-0.4999999999999998,0.5336812144212524,0.02941176470588236
7,572266708,3.9,0.54375,0.04821428571428571
8,707354621,4.199999999999999,0.5714285714285715,0.0
9,773587767,0.8,0.5311111111111111,-0.06222222222222218
10,683365076,4.699999999999999,0.5714285714285715,0.030952380952381064
11,572118894,4.2,0.5470430107526881,0.06899641577060928
12,572139050,8.2,0.5533154121863799,0.06720430107526881
13,774621409,2.9000000000000004,0.5733333333333334,-0.033333333333333326
14,573776679,1.5,0.5571428571428572,0.0
15,570814567,-0.8999999999999997,0.5148148148148148,0.021296296296296313
16,620533797,2.400000000000001,0.5380116959064328,0.026315789473684292
17,572158302,8.1,0.5560035842293907,0.0734767025089606
18,572180043,10.7,0.5748207885304659,0.08870967741935482
19,572139050,8.699999999999998,0.5667562724014337,0.08064516129032256
20,572180043,4.899999999999997,0.5568996415770608,0.07078853046594974
21,617631185,2.3000000000000003,0.5522629310344828,0.042025862068965525
22,573777039,0.4,0.5666666666666668,0.011904761904761973
23,572569256,0.9,0.5595238095238095,0.004761904761904745
24,774588572,-1.5,0.5377777777777778,-0.04888888888888887
25,572139050,3.299999999999999,0.5613799283154122,0.07526881720430106
26,774258626,-0.7000000000000001,0.5244444444444445,-0.08444444444444443
27,572139050,1.9999999999999996,0.5362903225806451,0.050179211469534024
28,587270777,-0.1,0.55,0.033333333333333326
29,572723377,-2.099999999999999,0.5089285714285714,0.0071428571428571175
30,587271561,4.1,0.5523809523809524,0.02857142857142858
31,774588679,0.0,0.5921052631578947,-0.06578947368421051
32,617696903,11.399999999999999,0.561026936026936,0.05555555555555558
33,570814567,7.2,0.5666666666666667,0.07314814814814813
34,617692529,-0.30000000000000004,0.5255839822024472,0.00444938820912133
35,570755878,-0.9,0.5576923076923076,-0.03205128205128216
36,572570072,0.3999999999999999,0.5348214285714286,0.024107142857142883
37,688072357,0.7000000000000001,0.5523809523809524,-0.0023809523809523725
38,774621409,6.9,0.6333333333333333,0.026666666666666616
