Episode,Build,Reward,APFD,Improvement
0,619804718,0.0,0.8333333333333334,-0.16666666666666663
1,713605920,-10.4,0.438562091503268,0.051633986928104614
2,621290563,1.1,1.0,0.16666666666666663
3,607127979,-0.9,0.8333333333333334,0.16666666666666674
4,723211456,3.6999999999999993,0.5555555555555556,0.1810457516339869
5,721886814,2.700000000000001,0.543731778425656,0.19752186588921283
6,615211413,1.1,1.0,0.16666666666666663
7,721581134,13.4,0.5925655976676385,0.24635568513119532
8,612547046,2.0,1.0,0.0
9,695181600,1.8000000000000016,0.5281862745098038,-0.004493464052287566
10,697021217,0.40000000000000036,0.5277777777777777,-0.0016339869281045694
11,716626847,9.100000000000001,0.5830065359477123,0.20718954248366
12,721888379,15.499999999999998,0.543731778425656,0.2048104956268222
13,611121236,-1.1,0.6666666666666666,-0.33333333333333337
14,621783216,2.0,1.0,0.0
15,704432502,17.900000000000006,0.6049562682215743,0.2514577259475218
16,615251949,0.9,1.0,0.33333333333333337
17,706561001,11.600000000000001,0.6107871720116619,0.25728862973760935
18,721800318,14.399999999999999,0.6530612244897959,0.31413994169096204
19,717058200,19.1,0.5666666666666667,0.21111111111111108
20,723552115,10.7,0.5233236151603499,0.18294460641399413
21,699003871,1.7000000000000006,0.4839650145772595,0.12609329446064144
22,698578231,2.8,0.5367647058823529,0.0077614379084968155
23,714051300,16.900000000000006,0.6209150326797386,0.2464052287581699
24,716753381,10.3,0.5745098039215686,0.2183006535947712
25,721886994,13.3,0.5787172011661808,0.2354227405247813
26,621285212,2.0,1.0,0.0
27,697721190,1.6999999999999997,0.5363562091503268,0.002450980392156854
28,621285212,2.0,1.0,0.0
29,716753381,3.4,0.5562091503267974,0.2
30,715596162,14.599999999999998,0.5588235294117647,0.2065359477124183
31,722869348,6.0,0.5424836601307189,0.17581699346405227
32,714050996,-1.4,0.5294117647058822,0.17385620915032668
33,703510554,5.799999999999999,0.5612244897959183,0.2172011661807579
34,697298682,5.400000000000001,0.553935860058309,0.2077259475218658
35,700204918,-4.5,0.5451895043731779,0.1916909620991254
36,614662422,-0.9,0.8333333333333334,0.16666666666666674
37,697269522,1.1000000000000005,0.5249183006535947,-0.004084967320261423
38,621775730,2.0,1.0,0.16666666666666663
39,700194166,8.200000000000001,0.521865889212828,0.16836734693877542
