Episode,Build,Reward,APFD,Improvement
41,714050996,30.488836519370683,0.3725490196078432,0.016993464052287632
42,723552115,27.406258879643715,0.34037900874635574,0.0
43,720772092,28.0,0.3491253644314869,0.0
44,697269522,48.0,0.5290032679738561,0.0
45,697269522,46.15426693147569,0.5269607843137254,-0.0020424836601307117
46,724412477,30.0,0.3568627450980392,0.0
47,690956079,48.0,0.5290032679738561,0.0
48,723601437,29.24911818529982,0.37647058823529417,-0.0013071895424836555
49,721581134,28.0,0.3462099125364432,0.0
50,721414939,27.331716275978554,0.33527696793002915,-0.0036443148688046767
51,728175517,30.0,0.35294117647058826,0.0
52,721888379,28.0,0.3389212827988338,0.0
53,716626847,30.0,0.37581699346405234,0.0
54,716626551,30.0,0.35555555555555557,0.0
55,721784822,28.0,0.34329446064139946,0.0
56,700203934,29.552680652987885,0.3899416909620992,0.036443148688046656
57,704432502,27.401543061308345,0.35276967930029157,-0.0007288629737609575
58,721886814,28.0,0.3462099125364432,0.0
59,716626551,30.0,0.35555555555555557,0.0
60,690956079,48.0,0.5290032679738561,0.0
61,695181600,48.0,0.5326797385620914,0.0
62,723211456,29.959240615434997,0.36666666666666664,-0.007843137254902044
63,695181600,47.26908555415574,0.5318627450980391,-0.0008169934640522847
64,713605920,30.0,0.3869281045751634,0.0
65,699864411,48.0,0.5294117647058822,0.0
66,724412477,30.0,0.3568627450980392,0.0
67,700203934,28.0,0.35349854227405253,0.0
68,621285212,2.0,1.0,0.0
69,621777309,2.0,1.0,0.0
70,721800318,27.178608873227837,0.337463556851312,-0.001457725947521804
71,697021217,46.54987845120675,0.5281862745098038,-0.001225490196078427
72,700203934,28.0,0.35349854227405253,0.0
73,723724122,30.0,0.36209150326797385,0.0
74,690992502,48.731207725139924,0.5328131252501,0.0
75,723724122,29.63563941471021,0.3607843137254902,-0.0013071895424836555
76,728175517,30.0,0.35294117647058826,0.0
77,615251949,2.0,0.6666666666666666,0.0
78,721784822,27.395255498095455,0.36151603498542273,0.018221574344023272
79,615194827,2.0,1.0,0.0
80,697298682,28.07591463757441,0.3542274052478134,0.0080174927113702
81,720772092,28.0,0.3491253644314869,0.0
82,730098655,28.0,0.3505830903790088,0.0
83,716753381,30.611188203860596,0.37581699346405234,0.019607843137254943
84,714050996,30.0,0.35555555555555557,0.0
85,697269522,46.60211641144049,0.5265522875816993,-0.002450980392156854
86,699003871,28.0,0.35787172011661805,0.0
87,723942590,30.0,0.35555555555555557,0.0
88,699864411,48.0,0.5294117647058822,0.0
89,621261626,2.0,1.0,0.0
90,621783216,2.0,1.0,0.0
91,697721190,47.561909857990074,0.5326797385620914,-0.001225490196078538
92,700194166,28.0,0.35349854227405253,0.0
93,607127979,2.0,0.6666666666666666,0.0
94,694766862,48.0,0.5290032679738561,0.0
95,614662422,2.0,0.6666666666666666,0.0
96,723552115,28.937248592770345,0.36078717201166177,0.020408163265306034
97,619798381,2.0,1.0,0.0
98,621261626,2.0,1.0,0.0
99,721886994,28.0,0.34329446064139946,0.0
100,715596162,30.0,0.35228758169934643,0.0
101,714050996,30.0,0.35555555555555557,0.0
102,713605920,29.76106515608198,0.3862745098039216,-0.0006535947712418277
103,723724122,29.95797096974644,0.36209150326797385,0.0
104,704432502,27.82363086032856,0.35276967930029157,-0.0007288629737609575
105,730046856,28.0,0.347667638483965,0.0
106,714050996,30.0,0.35555555555555557,0.0
107,611121236,2.0,1.0,0.0
108,723724122,30.0,0.36209150326797385,0.0
109,706561001,28.0,0.35349854227405253,0.0
110,699003871,28.0,0.35787172011661805,0.0
