Episode,Build,Reward,APFD,APFDC,Improvement
0,572759324,0.5544642857142856,0.5544642857142856,0.5525726520902878,0.047321428571428514
1,571827697,0.5386247877758914,0.5386247877758914,0.47698115909849814,0.09168081494057728
2,573676948,0.5044642857142857,0.5044642857142857,0.5151879921286655,-0.0008928571428571397
3,707534724,0.55,0.55,0.45530042153032735,-0.021428571428571463
4,703066934,0.5666666666666668,0.5666666666666668,0.5339528630937814,0.0071428571428572285
5,774266796,0.5111111111111112,0.5111111111111112,0.41163280310680583,-0.09777777777777774
6,746705132,0.5177606177606177,0.5177606177606177,0.48460088946413693,-0.007722007722007818
7,746705132,0.5362934362934363,0.5362934362934363,0.5712862868759065,0.010810810810810811
8,572665755,0.5366071428571428,0.5366071428571428,0.5424938106604491,0.03303571428571428
9,774616816,0.48,0.48,0.5097549695718293,-0.14666666666666672
10,683365076,0.5571428571428572,0.5571428571428572,0.61497007107413,0.01666666666666672
11,620591648,0.5409356725146199,0.5409356725146199,0.6473404438628351,0.02266081871345038
12,680844288,0.5595238095238095,0.5595238095238095,0.6249476218867037,0.011904761904761862
13,617692529,0.5367074527252502,0.5367074527252502,0.6487513306542532,0.015572858731924377
14,573430804,0.538949275362319,0.538949275362319,0.63703727950168,0.0036231884057971175
15,774258146,0.5933333333333333,0.5933333333333333,0.5817430958210666,0.01777777777777767
16,572164834,0.5488351254480286,0.5488351254480286,0.6366134557742229,0.06899641577060928
17,574118187,0.5246422893481717,0.5246422893481717,0.5862450569331797,0.011128775834658211
18,774590033,0.5777777777777777,0.5777777777777777,0.6333357010829717,-0.0311111111111112
19,572180043,0.5577956989247311,0.5577956989247311,0.5929604576815163,0.07168458781362003
20,608615216,0.5525096525096526,0.5525096525096526,0.6025602626604407,0.03552123552123554
21,570817138,0.5453703703703703,0.5453703703703703,0.6779862705575369,0.06111111111111106
22,774371009,0.5066666666666667,0.5066666666666667,0.5316234906738784,-0.11111111111111105
23,572669556,0.5401785714285714,0.5401785714285714,0.699144782137262,0.03125
24,620591648,0.5402046783625731,0.5402046783625731,0.6440622202097929,0.021929824561403577
25,683365076,0.55,0.55,0.6086441373425401,0.009523809523809601
26,574118362,0.5246422893481717,0.5246422893481717,0.5749219888059317,0.0119236883942766
27,574118362,0.5119236883942766,0.5119236883942766,0.5844039063873145,-0.0007949125596184992
28,774616590,0.49111111111111116,0.49111111111111116,0.5085621285251328,-0.1266666666666666
29,774266440,0.5511111111111111,0.5511111111111111,0.570329125486707,-0.053333333333333344
30,774601140,0.5311111111111111,0.5311111111111111,0.5493324563195336,-0.08666666666666667
31,774260344,0.5422222222222222,0.5422222222222222,0.604812035656395,-0.0755555555555556
32,573612979,0.5491071428571428,0.5491071428571428,0.6528229046210476,0.04107142857142854
33,572665755,0.5383928571428571,0.5383928571428571,0.5736763492436366,0.03482142857142856
34,571827697,0.5089134125636673,0.5089134125636673,0.5654747626174531,0.06196943972835317
35,572735102,0.5241071428571429,0.5241071428571429,0.6029353825176402,0.0017857142857142794
36,572580658,0.5412713472485768,0.5412713472485768,0.5070015688890469,0.03700189753320682
37,572641150,0.5169642857142857,0.5169642857142857,0.5900088540600232,0.015178571428571375
38,587271561,0.5285714285714286,0.5285714285714286,0.6330469712174523,0.004761904761904745
39,774258626,0.5755555555555556,0.5755555555555556,0.6645288441296097,-0.033333333333333326
40,774605807,0.5311111111111111,0.5311111111111111,0.5902321201878231,-0.07777777777777783
41,572759324,0.5258928571428572,0.5258928571428572,0.626305126782011,0.018750000000000044
42,572177292,0.5542114695340501,0.5542114695340501,0.6160213397439381,0.07616487455197124
43,608615216,0.5301158301158301,0.5301158301158301,0.5682204917099062,0.013127413127413057
44,620590707,0.5292397660818714,0.5292397660818714,0.6075296532695568,0.010964912280701844
45,572266708,0.5589285714285714,0.5589285714285714,0.5842598260064926,0.0633928571428572
46,571734935,0.5443548387096774,0.5443548387096774,0.6780426793744511,0.06899641577060928
47,572661645,0.5294642857142857,0.5294642857142857,0.58152124326251,0.0267857142857143
48,572669556,0.5482142857142857,0.5482142857142857,0.6524209894546003,0.03928571428571426
49,619575286,0.5554112554112554,0.5554112554112554,0.7099601703070028,0.04069264069264067
50,572642875,0.5267857142857142,0.5267857142857142,0.6318648135039017,0.023214285714285632
51,774616816,0.5466666666666666,0.5466666666666666,0.5815202251439795,-0.08000000000000007
52,573776679,0.5285714285714286,0.5285714285714286,0.575807763677042,-0.02857142857142858
53,571829234,0.5397727272727273,0.5397727272727273,0.5740990458745399,0.022727272727272707
